Brand,Model,Processor,RAM,Storage,Display,GPU,Price_BDT,Availability,Source,Product_URL
ASUS,Asus VivoBook Go 14 E1404FA AMD Ryzen 5 40 16GB RAM 512GB SSD 14 Inch FHD Display Mixed Black Laptop,AMD Ryzen 5,16GB,512GB SSD,"14""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-14-e1404fa-amd-ryzen-5-40-mixed-black-laptop
Lenovo,Lenovo IdeaPad Slim 3 14IRH10R Series 2 Intel Core 5 210H 16GB RAM 512GB SSD 14 Inch FHD+ WUXGA Display Luna Grey Laptop,Intel Core 5,16GB,512GB SSD,"14""",Intel Graphics,96500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-14irh10r-series-2-laptop
Lenovo,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 7 7735HS 16GB RAM 512GB SSD 15.3 Inch FHD+ WUXGA  Display Free Dos Luna Grey Laptop,AMD Ryzen 7,16GB,512GB SSD,"15.3""",AMD Radeon 680M Graphics,97000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-amd-ryzen-7-7735hs-luna-grey-laptop
ASUS,ASUS VivoBook 14 F1407QA Qualcomm Snapdragon X X1-26-100 16GB RAM 1TB SSD 14 Inch FHD+ WUXGA Display Copilot & AI Optimized Quiet Blue Laptop,Qualcomm Snapdragon X,16GB,1TB SSD,"14""",Qualcomm Adreno Graphics,98000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-14-f1407qa-qualcomm-snapdragon-x-x1-26-100-laptop
ASUS,"ASUS VivoBook 14 F1407QA Qualcomm Snapdragon X X1-26-100 16GB RAM, 1TB SSD 14 Inch FHD+ WUXGA Display Copilot & AI Optimized Platinum Gold Laptop",Qualcomm Snapdragon X,16GB,1TB SSD,"14""",Qualcomm Adreno Graphics,98000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-14-f1407qa-qualcomm-snapdragon-x-x1-26-100-16gb-ram-laptop
MSI,"MSI Modern A15 AI F2HMG 16GB RAM DDR5, 512GB NVMe PCIe SSD, 15.6 Inch FHD Display, Free DOS Platinum Gray Laptop",,16GB,512GB SSD,"15.6""",AMD Radeon 780M Graphics,98000,In Stock,ryans.com,https://www.ryans.com/msi-modern-a15-ai-f2hmg-laptop
MSI,"MSI Modern A14 AI F2HMG-14SK 16GB DDR5 RAM, 512GB SSD, 14 Inch FHD Display Free DOS, Platinum Gray Laptop",,16GB,512GB SSD,"14""",AMD Radeon 780M Graphics,98000,In Stock,ryans.com,https://www.ryans.com/msi-modern-a14-ai-f2hmg-14sk-14-inch-laptop
Lenovo,"Lenovo LOQ Gaming 15IAX9E 12th Gen Intel Core i5 12450HX 12GB ram, 512GB SSD 15.6 Inch FHD Display AI Optimized Luna Grey Gaming Laptop",Intel Core i5,12GB,512GB SSD,"15.6""",Nvidia RTX 2050 Graphics,99000,In Stock,ryans.com,https://www.ryans.com/lenovo-loq-gaming-15iax9e-12th-gen-intel-core-i5-12450hx-12gb-ram-gaming-laptop
Lenovo,"Lenovo IdeaPad Slim 3 14IRH10 13th Gen Intel Core i7 13620H 16GB RAM, 512GB SSD 14 Inch FHD+ WUXGA Display Luna Grey Laptop",Intel Core i7,16GB,512GB SSD,"14""",Intel UHD Graphics,99500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh10-13th-gen-intel-core-i7-13620h-laptop
Lenovo,"Lenovo IdeaPad Slim 3 15IRH10 13th Gen Intel Core i7 13620H 16GB RAM, 512GB SSD 15.3 Inch FHD+ WUXGA IPS Antiglare Display Luna Grey Laptop #83K100G0LK-2Y",Intel Core i7,16GB,512GB SSD,"15.3""",Intel UHD Graphics,99500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15irh10-13th-gen-intel-core-i7-13620h-luna-grey-laptop
Dell,Dell Pro 14 Essential PV14250 Series 1 Intel Core 5 120U 8GB RAM 512GB SSD 14 Inch FHD+ WVA Display Carbon Black Laptop,Intel Core 5,8GB,512GB SSD,"14""",Intel Graphics,99500,In Stock,ryans.com,https://www.ryans.com/dell-pro-14-essential-pv14250-intel-core-5-120u-laptop
Lenovo,Lenovo IdeaPad Slim 3 15IRH10R Intel Core 5 210H 24GB RAM 512GB SSD 15.3 Inch FHD+ WUXGA Display Luna Grey Laptop,Intel Core 5,24GB,512GB SSD,"15.3""",Intel Graphics,100500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15irh10r-intel-core-5-210h-24gb-ram-laptop
MSI,MSI Cyborg 15 A13UC Intel Core i5 13420H 8GB RAM 512GB SSD 15.6 Inch FHD Display Translucent Black Gaming Laptop,Intel Core i5,8GB,512GB SSD,"15.6""",Nvidia RTX 3050 Graphics,101900,In Stock,ryans.com,https://www.ryans.com/msi-cyborg-15-a13uc-intel-core-i5-13420h-gaming-laptop
ASUS,Asus VivoBook 16X K3605VC Intel Core i5 13420H 8GB RAM 512GB SSD 16 Inch WUXGA Display Indie Black Laptop,Intel Core i5,8GB,512GB SSD,"16""",Nvidia RTX 3050 Graphics,103000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-16x-k3605vc-intel-core-i5-13420h-laptop
Acer,"Acer Aspire Go 14 AG14-71M Series 1 Intel Core Ultra 5 125H 16GB RAM, 1TB SSD 14 Inch FHD+ WUXGA Display Steel Gray Laptop #UN.JF5SI.002",Intel Core Ultra,16GB,1TB SSD,"14""",Intel Arc Graphics,104000,In Stock,ryans.com,https://www.ryans.com/acer-aspire-go-14-ag14-71m-series-1-intel-core-ultra-5-125h-laptop
Acer,Acer Aspire Go 14 AG14-71M Intel Core Ultra 5 125H 16GB RAM 1TB SSD 14 Inch FHD+ WUXGA Steel Gray Laptop,Intel Core Ultra,16GB,1TB SSD,"14""",Intel Arc Graphics,104000,In Stock,ryans.com,https://www.ryans.com/acer-aspire-go-14-ag14-71m-intel-core-ultra-5-125h-laptop
